SL,Botanical Name,Common Names,General Information,Known Hazards,Range,Habitat,Properties,Cultivation Details,Edible Uses,Medicinal,Other Uses,Propagation
1,Lagerstroemia speciosa,"Ajhow, Jarul, Sida, Pride Of India","Pride of India is a fast-growing, medium-sized, deciduous, sub-canopy tree with an upright, round crown. The tree, which produces suckers, usually grows 15 metres tall or more, with some specimens up to 26 metres. The bole is around 60cm in diameter. The tree is harvested from the wild for local use as a medicine and source of materials. The wood is of good quality, considered to be one of the best timber trees in Myanmar and Pride of India is a fast-growing, medium-sized, deciduous, sub-canopy tree with an upright, round crown. The tree, which produces suckers, usually grows 15 metres tall or more, with some specimens up to 26 metres. The bole is around 60cm in diameter. The tree is harvested from the wild for local use as a medicine and source of materials. The wood is of good quality, considered to be one of the best timber trees in Myanmar and Assam, and is often traded. One of the most strikingly showy of flowering trees, and a good shade tree, it is commonly cultivated in gardens or along the sides of roads for its brightly coloured mauve or pink flowers with crinkled petals. These are borne in large, terminal, conical panicles, 30 cm long. The tree is clothed with 12-inch-long, dark green, oblong, leathery leaves which turn attractively red before falling in winter.","The roots, stems and leaves contain hydrocyanic acid[","E. Asia - China, India, Sri lanka, Myanmar, Thailand, Malaysia, Indonesia, Cambodia, Vietnam, Philippines","In open vegetation types, often coastal areas, in regrowth or in swamps, also planted a lot at elevations up to 100 metres. Usually on alluvial sites and along rivers with sandy to clay soils","Habit Deciduous Tree Height 15.00 m Growth Rate Fast Pollinators Bees Cultivation Status Ornamental, Wild","A plant of the moist, lowland tropics and subtropics, where it is found at elevations up to 400 metres. It grows best in areas where annual daytime temperatures are within the range 18 - 35°c, but can tolerate 6 - 43°c[",None known,The seeds are narcotic[,"The bark, fruit (14 - 17 %) and the leaves (12 - 13 %) all contain tannin. A yellow dye is obtained from the bark.  The seeds yield an oil whose main constituents are linoleic (54.3%), a keto (9-ketooctadec-cis-11-enoic acid, 21.1%), oleic (10.3%), palmitic (9.7%) and stearic acid(4.6%).  The heartwood is variable, from pale brown, yellow-brown, greyish or reddish to red-brown; it is not clearly differentiated from the up to 8cm wide band of white or grey-white to yellow-brown sapwood. The texture is moderately fine to coarse and uneven due to ring porous formation; the grain is straight, interlocked or sometimes wavy; attractive growth rings figure on flat-sawn surfaces as a result of layers of parenchyma as well as pore rings; the surface is somewhat lustrous. The wood is moderately heavy; hard; somewhat durable, being resistant to termites, moderately resistant to fungi but susceptible to dry wood borers. It seasons somewhat slowly, with a slight risk of checking or distortion; once dry it is moderately to poorly stable in service. It works well with ordinary tools, though the wavy grain can cause problems in planing and leave fuzzy surfaces if the tools are not very sharp; nailing and screwing are good; gluing is correct. The wood is suitable for use under cover, being suitable for purposes such as interior finishing, panelling, sliced and rotary peeled veneer, high class furniture manufacture, carving and domestic flooring. It is reported to be popular for use in boat building in Thailand and some parts of the Indo-China regions. The wood is also used for fuel.","Seed - germinates readily. Seeds should be sown in the shade, germination takes 15 - 56 days. After germination the small seedlings can be pricked out and transferred to containers. Seedlings grow slowly, often being no more than 5 - 30cm tall at the end of their first year - they usually speed up somewhat after this. Stumps with a shoot length of 5-10 cm, a root length of 10-20 cm and a diameter of 5-25 mm have shown 90-100 % survival. Seeds can store for at least 2 years in airtight containers at room temperature. Cuttings. Division of root suckers."
2,Amoora wallichii,Amari,"Aglaia spectabilis is an evergreen tree with a broad, rounded crown; it can grow up to 40 metres tall. The straight, cylindrical bole has plank buttresses up to 200cm tall and 370cm out. It can be free of branches for 15 metres or more, with a diameter of around 150cm. The tree is harvested from the wild for its oil and valuable timber. It is sometimes planted as an ornamental. The plant is vulnerable to habitat destruction. It is classified as 'Least Concern' in the IUCN Red List of Threatened Species(2011)",The sawdust can cause dermatitis,"E. Asia - China, India, Sikkim, Myanmar, Thailand, Laos, Cambodia, Vietnam, Malaysia, Indonesia, Philippines to New Guinea and Australia.","An upper canopy tree in secondary forest, riverine forest, primary forest, alluvial flats, coastal swamp and along the seashore; on sandy clay, sand, loam, sandstone, alluvial, coral; at elevations from sea level up to 650 metres","Habit Evergreen Tree Height 30.00 m Pollinators Insects Self-fertile No Cultivation Status Ornamental, Wild","Trees can commence flowering when about 8 metres tall. A dioecious species, both male and female forms need to be grown if fruit and seed are required.",None known,"The genus 'Aglaia' is the only source of the group of about 50 known representatives of compounds that bear a unique cyclopentatetrahydrobenzofuran skeleton. These compounds are more commonly called rocaglate or rocaglamide derivatives, or flavaglines, and most have been found to have potent insecticidal properties, antifungal, antiviral, antibacterial or anthelmintic bioactivity. Several of them exhibit pronounced cytotoxic activity against a range of human cancers. Since the first representative in this group was only discovered in 1982, this is one of the few recent examples of a completely new class of plant secondary metabolites of biological promise (see B. G. Wang et al., Biochem. Syst. Ecol. 32: 1223-1226. 2004; L.W. Chaidir et al., J. Nat. Prod. 64: 1216-1220. 2001).","The genus 'Aglaia' is the only source of the group of about 50 known representatives of compounds that bear a unique cyclopentatetrahydrobenzofuran skeleton. These compounds are more commonly called rocaglate or rocaglamide derivatives, or flavaglines, and most have been found to have potent insecticidal properties, antifungal, antiviral, antibacterial or anthelmintic bioactivity. Several of them exhibit pronounced cytotoxic activity against a range of human cancers. Since the first representative in this group was only discovered in 1982, this is one of the few recent examples of a completely new class of plant secondary metabolites of biological promise (see B. G. Wang et al., Biochem. Syst. Ecol. 32: 1223-1226. 2004; L.W. Chaidir et al., J. Nat. Prod. 64: 1216-1220. 2001).  A brown oil is obtained from the seed.  The heartwood is reddish-brown, the sapwood pinkish. The wood is hard and close-grained. A magnificent timber, it is used for making furniture, wall panelling, decorative work, boat building etc[",Seed
3,Phoebe goalparensis,Bonsum,"Phoebe goalparensis is an evergreen large tree of the Assam Valley Semi-evergreen forests buttressed at the base, light weight, hard, slow growing timber species of the family Lauraceae. It grows on soils varying from sandy loam to clay and attains a height of approximately 34 metres and a girth of 3.7 metres and found upto an altitude of 1,200 metres in the hills of Assam. The tree is a shade bearer and cannot stand direct exposure in young stages. Natural regeneration by seeds takes place profusely even under low covers. Artificial regeneration is done by seedlings raised in shaded beds in the nursery.",Not known,Upper Assam Tropical Semi-evergreen forest. Sub-Himalayan Tropical Semi-evergreen forest- Champion,"Phoebe goalparensis(Bonsum) is found in abundance in Assam particularly in Darrang, Goalpara and Sonitpur districts and yield excellent light weight timbers, almost indistinguishable and constitute one of the most valuable timbers of Assam known as Bonsum in trade. In Batasipur located in the Darrang district the species grows naturally.","The Sap wood of Bonsum is greyish white, heartwood pale greenish buff when freshly sown, changing quickly to rich brown resembling teak hence sometimes called Assam Teak. It is fairly even or coarse - textured soft, moderately strong and light Bonsum can be air seasoned well with care. It can also be kiln seasoned without difficulty.",Not known,Not known,Not known,"Phoebe goalparensis is a very steady wood. It is easy to saw and work and finishes to a fine smooth surface. Though not ornamental, it looks well under a wax polish. It is only moderately durable and is easily treatable under open tank process. It is used for house construction, door and window frames, veneers, plywood, packing cases, cabinet making, fittings of railway coaches, furnitures, general joinery, pattern - makings and in air craft construction. It is especially prized for cabinet work and is a medium quality fuelwood . Leaves of Phoebe are used for cattle and buffalo fodder and ash of berries is said to cure sores.",Not known
4,Ailanthus grandis,Borpat,"Ailanthus integrifolia is an evergreen tree growing up to 60 metres tall. The straight, cylindrical bole is unbuttressed, it can be branchless for up to 40 metres and is usually up to 85 cm in diameter, but exceptionally to 175cm The tree is harvested from the wild for its timber. It is sometimes grown in plantations. The plant is classified as 'Least Concern' in the IUCN Red List of Threatened Species(2011)",None known,"E. Asia - India, Vietnam, Malaysia, Indonesia, New Guinea to the Solomon Islands.",An emergent or large canopy tree in primary rainforests at elevations up to 900 metres,"Habit Evergreen Tree Height 40.00 m Cultivation Status Cultivated, Wild","A plant mainly of the wet, lowland tropics and subtropics, where it can be found at elevations up to 1,200 metres. It grows best in areas where annual daytime temperatures are within the range 30 - 38°c, but can tolerate 4 - 42°c. It can be killed by temperatures of 2°c or lower. It prefers a mean annual rainfall in the range 3,000 - 4,000mm, but tolerates 2,500 - 4,500mm. Requires a sunny position. Prefers a moist but well-drained, medium to light soil. Prefers a pH in the range 5 - 6, tolerating 4.5 - 7. A fast-growing tree",None known,None known,The wood is used for local house building and furniture manufacture.,Seed
5,Tetrameles nudiflora,Bhelu,"Tetrameles nudiflora is a large deciduous tree with a thin crown growing from 25 - 50 metres tall. The long, cylindrical bole is often deeply fluted with large buttresses up to 7 metres tall and 4 metres wide. It can be free of branches for up to 35 metres and up to 2 metres in diameter. The tree has large, spreading surface roots. A very large timber tree, but the wood is of poor quality. The tree is sometimes planted as an ornamental in parks and other large areas",None known,"E. Asia - China, India, Bhutan, Nepal, Myanmar, Thailand, Laos, Vietnam, Malaysia, Indonesia.","A usually solitary tree, predominantly found in deciduous forests, common in teak forest, usually at elevations up to 500 metres, but sometimes found up to 1,000 metres","Habit Tree Height 35.00 m Growth Rate Fast Cultivation Status Ornamental, Wild","The tree is restricted to regions with a more or less well pronounced dry season. Prefers a deep, humus-rich grey soil. Trees are not resistant to forest fires.",None known,None known,"The wood is light brown-grey with no distinction between heartwood or sapwood. Although it is available in large dimensions, is of an inferior quality. It is suitable for temporary buildings, wooden boxes (and matches?). Traditionally it is used for making canoes. The canoes are rubbed in oil and, when used in salt water, can last 8 - 10 years.",Seed
6,Chukrasia velutina,Bogipoma,"Chickrassy is a medium-sized, sometimes fairly large tree usually growing up to 30 metres tall but with some specimens up to 40 metres. It can be deciduous or evergreen depending upon the environment in which it grows. The straight bole can be branchless for up to 25 metres. The bole is fluted below, up to 120cm diameter and has convex buttresses up to 150cm tall. The tree is widely exploited in the wild for its valuable timber, which is traded internationally. It also has local medicinal uses, supplies various commodities and is a useful agroforestry species. It is grown as a plantation tree in several countries outside its native range, and is also sometimes grown as an ornamental. Rates of timber exploitation in Vietnam have caused such declines in population numbers that, at a national level, the species qualifies as critically endangered. On an international level it has been classified as 'Least Concern' in the IUCN Red List of Threatened Species(2011)",None known,"E. Asia - China, India, Bangladesh, Myanmar, Thailand, Malaysia, Indonesia, Laos, Cambodia, Vietnam","A dominant tree, usually found scattered in the top canopy of lowland evergreen or deciduous forest. It occasionally occurs as a colonizer of bare land, including road cuttings","Habit Deciduous Tree Height 30.00 m Growth Rate Medium Cultivation Status Cultivated, Wild","Chickrassy is a plant of the lowland tropics, usually found in an altitude range of 300 - 800 metres. It succeeds in areas where the mean annual temperature is in the range 20 - 25°c with an absolute minimum of 5 - 10°c. It grows best in areas where the mean annual rainfall is 1,400 - 4,000mm - it can tolerate as little as 850mm rainfall, but growth is then rather slow, in fact it does not achieve its full potential below 2,000mm rainfall. Prefers a sunny position, tolerating light shade. Avoids heavy and wet soils. It is usually found on well-drained soil in the plains and on hills. Plants are often found on limestone in the wild. Prefers a pH in the range 5.5 - 6.5, tolerating 5 - 7. Plants are generally wind-tolerant. The growth of seedlings is moderately fast over the first few years with plants reaching a height of 1.2 - 2.1 metres after two years; 2.8 - 3.4 metres after 3 years; 5.5 metres tall after 6 years. The tree coppices particularly well.",None known,"An extract of the bark has powerful astringent properties and has been used to treat diarrhoea and as a febrifuge.  A leaf extract has been reported to exhibit considerable antimalarial activity, as well as antibacterial and antifungal activities; the essential oil present in the leaf is responsible for these activities. The oil consists of oxygenated monoterpenes (42.8%, mainly carvacrol, thymol and borneol), phenyl propanoids (25.2%, mainly (E)-methyl isoeugenol and myristicin) and smaller amounts of sesquiterpene hydrocarbons, monoterpene hydrocarbons and oxygenated sesquiterpenes.","Agroforestry Uses: The tree is regarded as a pioneer species and is common in areas where shifting cultivation used to be practised. The straight bole and self-pruning ability make it a suitable tree for growing in combination with crops, such as banana, Citrus spp., and guava. It is grown to provide shade in coffee plantations in India. Its coppicing and pollarding ability make it particularly suitable for home gardens. Other Uses A yellow, transparent gum exudes from the trunk and is marketed in admixture with other gums.  The flowers contain a red and a yellow dye.  The young leaves and bark contain 22% and 15% of tannin respectively.  An extract from the twigs has proved an efficacious antifeedant against Pieris rapae in southern China. Root extracts showed antifeedant activity against Spodoptera insects, with phragmalin limonoids (tabulalin and tabulalides A - E) as the active compounds.   The seeds contain some 50% oil but how this is utilized is unrecorded.  The heartwood is pale reddish-brown, yellowish-red to red, darkening to dark yellowish-brown, reddish-brown to medium dark brown on exposure, sharply differentiated from the yellowish-white, pale yellowish-brown, pinkish-brown or greyish-brown sapwood; dark streaks may be rather prominent. The density is 625-800 kg/cubic m at 15% mc. The grain is interlocked and sometimes wavy, producing a rose figure; texture moderately fine but uneven. Freshly cut wood has a fragrant odour, but dried wood has no characteristic odour or taste. The wood is moderately hard, it is considered non-durable to moderately durable under exposed conditions - the resistance to termite attack varies from good to poor. Planed surfaces have a high lustrous satiny sheen. The timber is highly prized for high-grade cabinetwork, decorative panelling, interior joinery such as doors, windows and light flooring, and for carving, toys and turnery. It is also used for railway sleepers, ship and boat building, furniture, musical instruments (including pianos), packing cases, sporting goods, lorry bodies, mallet heads, anvil blocks, brush wares, drawing equipment, rifle butts, veneer and pulp. In India, the timber is also used for light to medium-heavy construction work, such as for posts, beams, scantlings and planks. The wood peels well and gives exceedingly fine veneer. It is suitable for commercial and moisture proof plywood. The wood can also be used as a fuel.","Seed requires no pre-treatment and is sown with overhead shade in light porous soil. Germination is fair: in Malaysia 35% of the seeds sown germinated in 1 - 2.5 weeks, in India 80-90% in 1 - 4 weeks. Where seed is plentiful, the best method is broadcast sowing in strips 0.6 m wide and 1.8 m apart. Best results have been obtained by raising seedlings in well-drained boxes and pots before transplanting. Seedlings are pricked out and transplanted to the nursery beds when about 1 month old and 6 - 8 cm high. Fresh seed retains its viability for a relatively short period, about 3 months. Air-layering."
7,Dysoxylum binectariferum,Bandordima,Dysoxylum gotadhora is an evergreen tree that can grow from 8 - 30 metres tall. The bole is straight. The tree is harvested from the wild for its wood,None known,"E. Asia - India, Sri Lanka, Nepal, Myanmar, Thailand, Laos, Vietnam.","A sub-canopy to canopy tree in dense forests in mountainous ravines; at elevations from 500 - 1,700 metres",Habit Evergreen Tree Height 20.00 m Cultivation Status Wild,"We have no specific information for this species, but most members of the genus are dioecious, in which case both male and female forms need to be grown if fruit and seed are required.",None known,None known,"The heartwood is red or reddish-grey. The texture is rough; the grain is close. The wood is hard, moderately heavy, it can be worked to a smooth finish. It possesses a somewhat strong contrary growth of hard and soft layers. A useful, attractive wood, it is used for making furniture and carts.",Seed
8,Morus laevigata,Bola,"Morus macroura is a deciduous tree with a dense crown; it usually grows from 7 - 20 metres tall, with reports of some trees reaching 35 metres in Thailand. The bole can be 10 - 20cm in diameter in one report, and up to 60cm according to another. The tree is harvested from the wild for local use as a food, medicine and source of materials. It is sometimes cultivated for its edible fruit, and is planted as a pioneer species in reforestation projects in Thailand",None known,"E. Asia - China, India, Nepal, Bhutan, Myanmar, Thailand, Cambodia, Malaysia, Indonesia","Mountain forests and tropical forests; at elevations from 300 - 2, 200 metres but mainly at 1,000 - 1,300 metres. Found in both the upper canopy of dense forest and in more open areas in Thailand",Habit Tree Height 10.00 m Growth Rate Fast Cultivation Status Wild,"A very adaptable species, it can be grown from the warm temperate zone through to the tropics. Trees can be very cold tolerant, with some dormant plants reported to tolerate temperatures down to -10°c. Grows best in a sunny position. Prefers a deep, fertile, moist soil, but the plant is fairly adaptable. A fast-growing tree. A very long-lived tree, able to fruit productively for several hundred years. Plants can be slow to come into fruiting when grown from seed, often taking several years. A dioecious species, both male and female forms need to be grown if fruit and seed are required.","Fruit - raw. The good forms are tasty. The aggregate fruits (syncarp) varies in colour when ripe from yellowish-white to almost black. It can be 6 - 12cm long[266 , 377",The juice of the bark is applied to cuts and wounds,"Agroforestry Uses: The tree is planted as a pioneer species in northern Thailand in reforestation projects to restore native woodland - it is planted in degraded woodland and open areas in a mix with various other species that all have the ability to grow fast; produce dense, weed-suppressing crowns; and attract seed-dispersing wildlife, particularly birds and bats. Other Uses The fibres in the bark are used for making paper.  The wood and the leaves are used in dyeing.  The wood is hard, close grained with a beautiful lustre. It is easy to work and bends well when steamed. It is used for making furniture, curved structures, construction etc.","Seed - it can take from a few weeks to several months to germinate. There is a report that the seed can benefit from a period of cold stratification to stimulate germination, though this is likely only to apply where the seed was obtained from plants in areas with a cold season. Cuttings Layering"
9,Terminalia bellirica,"Bahera, Bhomda","Myrobalan is a large, fast-growing deciduous tree with a large, globose crown; it can grow up to 50 metres tall, though it is usually smaller in cultivation. The buttressed bole usually has a diameter of up to 200cm, though exceptionally to 300cm, and can be branchless for up to 20 metres. The tree has long been used in Indian herbal medicine, the fruits being gathered from the wild and from cultivation. The tree is cultivated everywhere in India because of its fruits and the tannin-rich bark.",The seeds are possible toxic or narcotic,"E. Asia - southwest China, Indian subcontinent, Myanmar, Thailand, Laos, Vietnam, Malaysia, Indonesia","Scattered forests, sunny mountain slopes, one of the upper layer trees of stream valleys and lower seasonal rain forests at elevations of 500 - 1,400 metres","Habit Deciduous Tree Height 35.00 m Growth Rate Fast Pollinators Insects Cultivation Status Cultivated, Wild","The plant has a wide ecological range, succeeding in tropical and subtropical climates, but does not grow above 600 m altitude. It is found at elevations up to 1,400 metres in China. In its natural area of distribution mean annual precipitation varies from 1,000 to over 3,000 mm. It grows best in areas where annual daytime annual temperatures are within the range 20 - 33°c, though it can tolerate 5 - 45°c. It is fairly sensitive to frost, though seedlings can survive, particularly when covered with grass. Generally, temperatures of -1°c can kill a tree. Succeeds in any moderately fertile, well-drained soil in a sunny position. Young trees are somewhat shade tolerant. Prefers periodically dry soils, and is moderately drought tolerant. Plants can tolerate short periods of inundation. Prefers a pH in the range 5.5 - 6.5, but tolerates 5 - 7.5. Trees are leafless for a short period (some weeks) in the dry season. Pollination may be done by insects, as the flowers have unpleasant odour, which attracts flies. Trees planted at a spacing of 1 metre x 6 metres in Java have a mean annual increment in height of 1.6 metres and diameter of 2.1 cm at the age of 15 years; when sown directly at 1 metre x 3 metres the trees closed their canopy after 5 years and gave an annual height and diameter increment of 1.2 metres and 1.3 cm, respectively, after 6 years. The trees had reached a height of 20 - 25 metres in 15 years, after a few thinnings. Trees react well to coppicing, but pollarding does not give good results.","The seeds are edible. They are possibly toxic or narcotic. Eating the seeds in any but small quantities can lead to narcotic effects.  The dark red fruits are edible. They can be used for making preserves. Subacid, with a pleasant flavour, the smooth-skinned fruit is about 3cm in diameter.","The fruit contains anthraquinones and tannins. It is anthelmintic, astringent (especially when ripe), digestive, tonic and laxative (especially when unripe). The fruit is used internally principally in the treatment of digestive and respiratory problems. In Indian herbal medicine the ripe fruit is used in cases of diarrhoea and indigestion, whilst the unripe fruit is used as a laxative in cases of chronic constipation. The fruit is often used to treat upper respiratory tract infections that cause symptoms of sore throats, hoarseness and coughs. Externally, the fruit is used to make a lotion for sore eyes.  The sour fruits are one of the ingredients of 'triphala', an Ayurvedic rejuvenative, laxative tonic based on this species plus the fruits of Phyllanthus emblica and Terminalia chebula.","The bark is used for making a dye. The dried fruits contain 20 - 25% tannin. The fruits yield a dye that is occasionally used together with iron sulphate for dyeing black cloth and matting, as a cheap substitute for indigo, and for preparation of ink.  The leaves are a source of tannins.  The seeds yield about 40% of a clear yellow oil, composed of 12% palmitic acid, 16% stearic acid, 43% oleic acid and 29% linoleic acid. It is used for hair-oil and in the manufacture of soap. An excellent soap can be prepared using a mixture of 60% of this oil, 25% coconut oil and 15% groundnut oil.  An insoluble gum is produced in considerable quantity from the trunk.  The timber is yellowish-grey, lacking heartwood, light to moderately heavy, fairly straight-grained, very coarse-textured. It is not durable, and very prone to insect attack, though durability is said to be improved by immersing the wood in water. It is considered to be of little value. It is used for construction and agricultural implements, especially in regions where other timber is scarce or expensive. Large-sized stems are used for dug-out canoes. The wood is valued for fuel and for making charcoal.","Seed - pre-soaking in cold water for 24 hours prior to sowing has been reported to improve germination rates. Buried seeds have a better chance of successful germination. The germination rate is quite high for fresh seeds, with reports of 85 - 100% germination, but it declines rapidly when seeds have been stored for some time. Germination needs much moisture, and usually takes 2 - 5 weeks. Usually sown in a nursery seedbed, the seed can also be sown directly in the field when conditions are favourable. When seedlings are raised in the nursery, transplanting to the field before the taproot has developed is strongly preferable, and mostly successful. Clipping the roots and shoots checks growth considerably, stumping is not advised."
10,Magnolia champaca,"Champaca, Sopa","Champaca is a large evergreen tree with a close tapering conical to cylindrical crown composed of ascending branches. It can grow 33 metres or more tall, with some specimens attaining 50 metres. It has a long straight bole that can be 18 - 21 metres long more and, under ordinary forest conditions, 80 - 120cm in diameter. The tree has a wide range of uses, being harvested locally as a source of food, medicines and a range of commodities. It is particularly valued for its essential oil and timber, and is sometimes cultivated for these. The tree is also used in reforestation projects. Champaca is commonly cultivated as an ornamental and wayside tree throughout the tropics, being valued especially for its fragrant flowers, which are often used in religious ceremonies",None known,"E. Asia - China, India, Bangladesh, Myanmar, Thailand, Vietnam, Indonesia",Scattered in primary lowland to montane rain forest[,"Habit Evergreen Tree Height 30.00 m Pollinators Beetles Cultivation Status Cultivated, Ornamental, Wild","A plant of the wet tropics and subtropics, also able to be grown in the warm temperate zone. It is found growing at elevations from near sea level to 2,100 metres. It grows best in areas where annual daytime temperatures are within the range 30 - 37°c, but can tolerate 10 - 47°c. When dormant, the plant can survive temperatures down to about °c, but young growth can be severely damaged at °c. It prefers a mean annual rainfall in the range 3,000 - 4,000mm, but tolerates 2,200 - 5,100mm. Requires a sunny position in a moist but well-drained, deep, fertile, loamy to sandy soil. Prefers a pH in the range 4.5 - 5.5, tolerating 4 - 6. Trees propagated from seed take 8 - 10 years to flower, whereas asexually propagated trees flower in 2 - 3 years. In Java the mean annual increment of 10 - 27-year-old trees is 1 - 1.8 metres in height and 1.5 - 2 cm in diameter. A rotation of 50 years is recommended to produce sawn timber. The tree responds well to coppicing The tree is susceptible to fire. The tree flowers and fruits throughout the year. Vesicular-arbuscular nitrogen-fixing mycorrhizae have been observed on the roots.","The aromatic, bitter bark is sometimes used for the adulteration of cinnamon.  The fruit is said to be edible","The bark is used as a febrifuge. A decoction of the bark and leaves is given after childbirth.  The flowers are used to treat leprosy.  The leaves are used as a treatment against colic.  The seeds are used to treat badly chapped skin. Fatty oils extracted from the seeds show antibacterial activity against Bacillus pumilus, B. Subtilis, Salmonella typhosa, S. Paratyphi, Micrococcus pyogenes var. Albus and Staphylococcus aureus","Agroforestry Uses: The tree is used to reforest badly eroded areas in Java. Soil under tree cover shows an increase in pH, soil organic carbon and available phosphorus. Other Uses The flowers yield an essential oil known as champa or champaca oil. It is used in perfumery. Another essential oil, known as Michelia leaf oil, is extracted from the leaves. The sweetly scented flowers are used in India for hair adornment.  A yellow dye is obtained from the flowers.  Analyses of seeds showed a low kernel content of around 20%. However, the oil content of each kernel is fairly high at 32.2%, which gives it potential for commercial exploitation for oil production for various uses.  The leaf extract is toxic to the rice fungus, Pyricularia oryzae.  The heartwood is olive-brown turning to dark brown with a greenish tinge upon exposure, it is clearly differentiated from the pale brown, up to 8 cm wide sapwood. The wood is soft, light and even-grained.. The heartwood is strong, durable, and capable of taking a high polish. The grain is straight or slightly interlocked, texture fine to moderately fine and even. Michelia wood is nicely figured and is used for furniture, cabinetwork, carvings, turnery and pattern making; it has also been used for cement-bonded wood-wool board. In India it has been recommended to ring girdle trees about 3 years before felling to prevent possible warping and checking of the wood. The tree is used as fuel wood, the gross energy value of the heartwood is about 21 070 kJ/kg.","The seeds are oily and quickly lose their viability, so should be sown as soon as possible after harvesting It is best sown in a shady position then moved into more light when the seed has germinated. Germination takes from 5 weeks to 4 months. The germination rate of the seed is generally poor. The seedlings are pricked into containers when 2 to 4 cm tall and left to grow for 1 year in the nursery. They can be planted out when they are 30 to 40 cm in height. Seed storage behaviour is probably orthodox. Seed viability can be maintained by moist storage at 5°c for about 7 months or in pits at 13°c for about 4 months. Grafting. Cuttings. Extracts of girdled and etiolated shoots contained a higher level of root-promoting substances than shoots that were only girdled or fresh shoots. The best rooting (93.3 percent) and survival of rooted layers (92.1 percent) were obtained with pregirdled and etiolated layers treated with indole butyric acid at 5000 ppm."
